dateRep,day,month,year,cases_FRA,deaths_FRA,popData2018_FRA,cases_IT,deaths_IT,popData2018_IT,cases_SPN,deaths_SPN,popData2018_SPN,cases_UK,deaths_UK,popData2018_UK
25/05/2020,25,5,2020,115,35,66987244,531,50,60431283,,,,2405,118,66488991
24/05/2020,24,5,2020,240,43,66987244,669,119,60431283,482,74,46723749,2959,282,66488991
23/05/2020,23,5,2020,403,74,66987244,652,130,60431283,466,50,46723749,3287,351,66488991
22/05/2020,22,5,2020,318,83,66987244,642,156,60431283,1787,688,46723749,2615,338,66488991
21/05/2020,21,5,2020,418,110,66987244,665,161,60431283,482,52,46723749,-525,363,66488991
20/05/2020,20,5,2020,524,125,66987244,813,162,60431283,518,110,46723749,2412,545,66488991
19/05/2020,19,5,2020,492,186,66987244,451,99,60431283,431,69,46723749,2711,160,66488991
18/05/2020,18,5,2020,120,68,66987244,675,145,60431283,256,59,46723749,3534,170,66488991
17/05/2020,17,5,2020,372,88,66987244,875,153,60431283,652,87,46723749,3450,468,66488991
16/05/2020,16,5,2020,563,130,66987244,789,242,60431283,515,104,46723749,3560,384,66488991
15/05/2020,15,5,2020,622,351,66987244,992,262,60431283,643,138,46723749,3446,428,66488991
14/05/2020,14,5,2020,507,83,66987244,888,195,60431283,849,217,46723749,3242,494,66488991
13/05/2020,13,5,2020,708,348,66987244,1402,172,60431283,439,184,46723749,3403,627,66488991
12/5/2020,12,5,2020,456,263,66987244,744,179,60431283,482,176,46723749,3877,210,66488991
11/5/2020,11,5,2020,209,70,66987244,802,165,60431283,393,123,46723749,3923,268,66488991
10/5/2020,10,5,2020,433,80,66987244,1083,194,60431283,3416,143,46723749,3896,346,66488991
9/5/2020,9,5,2020,642,243,66987244,1327,243,60431283,743,227,46723749,4649,626,66488991
8/5/2020,8,5,2020,629,178,66987244,1401,274,60431283,1173,181,46723749,5514,539,66488991
7/5/2020,7,5,2020,4183,278,66987244,1444,369,60431283,921,213,46723749,6211,649,66488991
6/5/2020,6,5,2020,1104,330,66987244,1075,236,60431283,880,244,46723749,4406,693,66488991
5/5/2020,5,5,2020,576,306,66987244,1221,195,60431283,1039,185,46723749,3985,288,66488991
4/5/2020,4,5,2020,308,135,66987244,1389,174,60431283,466,164,46723749,4339,315,66488991
3/5/2020,3,5,2020,794,166,66987244,1900,474,60431283,935,164,46723749,4806,621,66488991
